Version 2.0
========================================================================
Instructions:
Dimension: Enter "2" for 2D, "3" for 3D (Integer)
Particles: Number of particles to read from this file (Integer)
For each variable, enter whether it will be read from the file
("T" to be read (True), "F" to not be read (False)). When not read, enter the
default values assign to all particles.
Coordinates are always read (X,Y in 2D, X,Y,Z in 3D)
Phase_ID, Diameter, Density, Temperature are scalars
Velocity requires U,V in 2D, U,V,W in 3D
Temperature is only read/set if the energy equation is solved
Species are only read/set if the species equations are solved, and requires 
all species to be set (if phase 1 has 2 species and phase 2 has 4 species,
all particles must have 4 entries, even phase 1 particles (pad list with zeros)
User scalars need DES_USR_VAR_SIZE values
Data starts at line 35. Each column correspond to a variable.
========================================================================
Dimension:    3
Particles:    35361
========================================================================
Variable      Read(T/F)     Default value (when Read=F)
========================================================================
Coordinates:     T          Must always be T
Phase_ID:        F          1
Diameter:        T          
Density:         F          2500.0
Velocity:        F          0.0 0.0 0.0
Temperature:     T          (Ignored if energy eq. is not solved)
Species:         T          (Ignored if species eq. are not solved) 
User_Scalar:     T          (Ignored if no user scalars are defined)
========================================================================
    X (m)           Y (m)           Z (m)       Diameter (m)
========================================================================
-5.07749E-02	-7.98147E-01	-2.00612E-01	9.71052E-03
-4.86164E-02	-8.16202E-01	-2.25035E-01	8.34185E-03
-3.16460E-02	-8.13702E-01	-2.19164E-01	1.09747E-02
-3.32833E-02	-8.25178E-01	-2.19393E-01	9.67983E-03
-2.48844E-02	-8.30159E-01	-2.16423E-01	9.84182E-03
-8.57591E-03	-8.38121E-01	-2.08773E-01	9.92759E-03
-2.75312E-03	-8.32665E-01	-2.00770E-01	1.07560E-02
1.57276E-02	-8.37839E-01	-2.08196E-01	1.04387E-02
1.96605E-02	-8.31447E-01	-2.15105E-01	9.97808E-03
2.71083E-02	-8.26450E-01	-2.19492E-01	9.99619E-03
3.55440E-02	-8.28885E-01	-2.15687E-01	9.15771E-03
4.45244E-02	-8.28239E-01	-2.11771E-01	1.05089E-02
4.70488E-02	-8.22092E-01	-2.19129E-01	9.33350E-03
4.62750E-02	-8.04331E-01	-2.10487E-01	1.12717E-02
4.24054E-02	-8.12701E-01	-2.16903E-01	1.12080E-02
-6.47062E-02	-8.13189E-01	-2.23349E-01	9.10882E-03
-5.67073E-02	-8.27164E-01	-2.11614E-01	9.73671E-03
