0.1200D-01  0.8750D-01  0.2375D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.1200D-01  0.8750D-01  0.7125D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.1200D-01  0.8750D-01  0.1187D-01  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.1072D-01  0.8801D-01  0.2319D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.1072D-01  0.8904D-01  0.6957D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.1072D-01  0.9006D-01  0.1160D-01  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.9442D-02  0.8850D-01  0.2154D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.9442D-02  0.9050D-01  0.6462D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.9442D-02  0.9250D-01  0.1077D-01  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.8163D-02  0.8894D-01  0.1888D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.8163D-02  0.9182D-01  0.5663D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.8163D-02  0.9471D-01  0.9438D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.6884D-02  0.8931D-01  0.1532D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.6884D-02  0.9294D-01  0.4597D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.6884D-02  0.9657D-01  0.7661D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.5605D-02  0.8960D-01  0.1105D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
0.5605D-02  0.9381D-01  0.3314D-02  0.2500D-02  0.1000D+04  0.0000D+00  0.0000D+00  0.0000D+00
